Source,Target,Source_Party,Target_Party,Source_Reselection,Target_Reselection,Source_District_Type,Target_District_Type,Source_Gender,Target_Gender,Source_Role,Target_Role
김민기,박완주,더불어민주당,더불어민주당,재선,재선,지역구,지역구,남,남,Co-Sponsor,Representative
김영호,박완주,더불어민주당,더불어민주당,초선,재선,지역구,지역구,남,남,Co-Sponsor,Representative
김정우,박완주,더불어민주당,더불어민주당,초선,재선,지역구,지역구,남,남,Co-Sponsor,Representative
노웅래,박완주,더불어민주당,더불어민주당,3선,재선,지역구,지역구,남,남,Co-Sponsor,Representative
민홍철,박완주,더불어민주당,더불어민주당,재선,재선,지역구,지역구,남,남,Co-Sponsor,Representative
박정,박완주,더불어민주당,더불어민주당,초선,재선,지역구,지역구,남,남,Co-Sponsor,Representative
윤관석,박완주,더불어민주당,더불어민주당,재선,재선,지역구,지역구,남,남,Co-Sponsor,Representative
이철희,박완주,더불어민주당,더불어민주당,초선,재선,비례대표,지역구,남,남,Co-Sponsor,Representative
전혜숙,박완주,더불어민주당,더불어민주당,재선,재선,지역구,지역구,여,남,Co-Sponsor,Representative
강석진,김승희,자유한국당,자유한국당,초선,초선,지역구,비례대표,남,여,Co-Sponsor,Representative
김명연,김승희,자유한국당,자유한국당,재선,초선,지역구,비례대표,남,여,Co-Sponsor,Representative
김상훈,김승희,자유한국당,자유한국당,재선,초선,지역구,비례대표,남,여,Co-Sponsor,Representative
김석기,김승희,자유한국당,자유한국당,초선,초선,지역구,비례대표,남,여,Co-Sponsor,Representative
박맹우,김승희,자유한국당,자유한국당,재선,초선,지역구,비례대표,남,여,Co-Sponsor,Representative
윤영석,김승희,자유한국당,자유한국당,재선,초선,지역구,비례대표,남,여,Co-Sponsor,Representative
윤재옥,김승희,자유한국당,자유한국당,재선,초선,지역구,비례대표,남,여,Co-Sponsor,Representative
이종명,김승희,자유한국당,자유한국당,초선,초선,비례대표,비례대표,남,여,Co-Sponsor,Representative
추경호,김승희,자유한국당,자유한국당,초선,초선,지역구,비례대표,남,여,Co-Sponsor,Representative
한선교,김승희,자유한국당,자유한국당,4선,초선,지역구,비례대표,남,여,Co-Sponsor,Representative
기동민,인재근,더불어민주당,더불어민주당,초선,재선,지역구,지역구,남,여,Co-Sponsor,Representative
김상희,인재근,더불어민주당,더불어민주당,3선,재선,지역구,지역구,여,여,Co-Sponsor,Representative
김영진,인재근,더불어민주당,더불어민주당,초선,재선,지역구,지역구,남,여,Co-Sponsor,Representative
남인순,인재근,더불어민주당,더불어민주당,재선,재선,지역구,지역구,여,여,Co-Sponsor,Representative
박정,인재근,더불어민주당,더불어민주당,초선,재선,지역구,지역구,남,여,Co-Sponsor,Representative
소병훈,인재근,더불어민주당,더불어민주당,초선,재선,지역구,지역구,남,여,Co-Sponsor,Representative
