Source,Target,Source_Party,Target_Party,Source_Reselection,Target_Reselection,Source_District_Type,Target_District_Type,Source_Gender,Target_Gender,Source_Role,Target_Role
고용진,김병관,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
김병관,김병욱,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
김병관,김철민,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
김병관,박재호,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
김병관,박정,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
김병관,서형수,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
김병관,심기준,더불어민주당,더불어민주당,초선,초선,지역구,비례대표,남,남,Representative,Co-Sponsor
김병관,위성곤,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
김병관,유승희,더불어민주당,더불어민주당,초선,3선,지역구,지역구,남,여,Representative,Co-Sponsor
김병관,이규희,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
김병관,이원욱,더불어민주당,더불어민주당,초선,재선,지역구,지역구,남,남,Representative,Co-Sponsor
김병관,홍익표,더불어민주당,더불어민주당,초선,재선,지역구,지역구,남,남,Representative,Co-Sponsor
김병관,김철민,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
김병관,박재호,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
김병관,서형수,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
김병관,심기준,더불어민주당,더불어민주당,초선,초선,지역구,비례대표,남,남,Representative,Co-Sponsor
김병관,위성곤,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
김병관,유승희,더불어민주당,더불어민주당,초선,3선,지역구,지역구,남,여,Representative,Co-Sponsor
김병관,이규희,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
김병관,이원욱,더불어민주당,더불어민주당,초선,재선,지역구,지역구,남,남,Representative,Co-Sponsor
김병관,이종걸,더불어민주당,더불어민주당,초선,5선,지역구,지역구,남,남,Representative,Co-Sponsor
김관영,채이배,국민의당,국민의당,재선,초선,지역구,비례대표,남,남,Co-Sponsor,Representative
김동철,채이배,국민의당,국민의당,4선,초선,지역구,비례대표,남,남,Co-Sponsor,Representative
김종훈,채이배,무소속,국민의당,초선,초선,지역구,비례대표,남,남,Co-Sponsor,Representative
박선숙,채이배,국민의당,국민의당,재선,초선,비례대표,비례대표,여,남,Co-Sponsor,Representative
박찬대,채이배,더불어민주당,국민의당,초선,초선,지역구,비례대표,남,남,Co-Sponsor,Representative
이용득,채이배,더불어민주당,국민의당,초선,초선,비례대표,비례대표,남,남,Co-Sponsor,Representative
이철희,채이배,더불어민주당,국민의당,초선,초선,비례대표,비례대표,남,남,Co-Sponsor,Representative
정인화,채이배,국민의당,국민의당,초선,초선,지역구,비례대표,남,남,Co-Sponsor,Representative
채이배,추혜선,국민의당,정의당,초선,초선,비례대표,비례대표,남,여,Representative,Co-Sponsor
강석호,문진국,자유한국당,자유한국당,3선,초선,지역구,비례대표,남,남,Co-Sponsor,Representative
강효상,문진국,자유한국당,자유한국당,초선,초선,비례대표,비례대표,남,남,Co-Sponsor,Representative
김규환,문진국,자유한국당,자유한국당,초선,초선,비례대표,비례대표,남,남,Co-Sponsor,Representative
김명연,문진국,자유한국당,자유한국당,재선,초선,지역구,비례대표,남,남,Co-Sponsor,Representative
김석기,문진국,자유한국당,자유한국당,초선,초선,지역구,비례대표,남,남,Co-Sponsor,Representative
김용태,문진국,자유한국당,자유한국당,3선,초선,지역구,비례대표,남,남,Co-Sponsor,Representative
문진국,민경욱,자유한국당,자유한국당,초선,초선,비례대표,지역구,남,남,Representative,Co-Sponsor
문진국,이철규,자유한국당,무소속,초선,초선,비례대표,지역구,남,남,Representative,Co-Sponsor
문진국,정갑윤,자유한국당,자유한국당,초선,5선,비례대표,지역구,남,남,Representative,Co-Sponsor
문진국,정운천,자유한국당,자유한국당,초선,초선,비례대표,지역구,남,남,Representative,Co-Sponsor
김석기,송석준,자유한국당,자유한국당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
김정재,송석준,자유한국당,자유한국당,초선,초선,지역구,지역구,여,남,Co-Sponsor,Representative
성일종,송석준,자유한국당,자유한국당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
송석준,송언석,자유한국당,자유한국당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
송석준,송희경,자유한국당,자유한국당,초선,초선,지역구,비례대표,남,여,Representative,Co-Sponsor
송석준,유동수,자유한국당,더불어민주당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
송석준,윤종필,자유한국당,자유한국당,초선,초선,지역구,비례대표,남,여,Representative,Co-Sponsor
송석준,이양수,자유한국당,자유한국당,초선,초선,지역구,지역구,남,남,Representative,Co-Sponsor
송석준,이종배,자유한국당,자유한국당,초선,재선,지역구,지역구,남,남,Representative,Co-Sponsor
송석준,함진규,자유한국당,자유한국당,초선,재선,지역구,지역구,남,남,Representative,Co-Sponsor
김성찬,임이자,자유한국당,자유한국당,재선,초선,지역구,비례대표,남,여,Co-Sponsor,Representative
김승희,임이자,자유한국당,자유한국당,초선,초선,비례대표,비례대표,여,여,Co-Sponsor,Representative
김용태,임이자,자유한국당,자유한국당,3선,초선,지역구,비례대표,남,여,Co-Sponsor,Representative
김태년,임이자,더불어민주당,자유한국당,3선,초선,지역구,비례대표,남,여,Co-Sponsor,Representative
문진국,임이자,자유한국당,자유한국당,초선,초선,비례대표,비례대표,남,여,Co-Sponsor,Representative
