Id,Label,Party,Reselection,District_Type,Gender,Role
최교일,최교일,자유한국당,초선,지역구,남,Representative
권미혁,권미혁,더불어민주당,초선,지역구,여,Representative
김중로,김중로,바른미래당,초선,비례대표,남,Representative
최재성,최재성,더불어민주당,4선,지역구,남,Representative
황희,황희,더불어민주당,초선,지역구,남,Representative
설훈,설훈,더불어민주당,4선,지역구,남,Representative
김기선,김기선,자유한국당,재선,지역구,남,Representative
김부겸,김부겸,더불어민주당,4선,지역구,남,Representative
정병국,정병국,바른미래당,5선,지역구,남,Representative
김상훈,김상훈,자유한국당,재선,지역구,남,Representative
윤관석,윤관석,더불어민주당,재선,지역구,남,Representative
유민봉,유민봉,자유한국당,초선,비례대표,남,Representative
유의동,유의동,바른미래당,재선,지역구,남,Representative
박성중,박성중,자유한국당,초선,지역구,남,Representative
김삼화,김삼화,바른미래당,초선,비례대표,여,Representative
노웅래,노웅래,더불어민주당,3선,지역구,남,Representative
김정호,김정호,더불어민주당,초선,지역구,남,Representative
박병석,박병석,더불어민주당,5선,지역구,남,Representative
추경호,추경호,자유한국당,초선,지역구,남,Representative
박대출,박대출,자유한국당,재선,지역구,남,Representative
송기헌,송기헌,더불어민주당,초선,지역구,남,Representative
이만희,이만희,자유한국당,초선,지역구,남,Representative
김도읍,김도읍,자유한국당,재선,지역구,남,Representative
김경협,김경협,더불어민주당,재선,지역구,남,Representative
조승래,조승래,더불어민주당,초선,지역구,남,Representative
김정재,김정재,자유한국당,초선,지역구,여,Representative
홍의락,홍의락,더불어민주당,재선,지역구,남,Representative
한정애,한정애,더불어민주당,재선,지역구,여,Representative
조정식,조정식,더불어민주당,4선,지역구,남,Representative
정양석,정양석,자유한국당,재선,지역구,남,Representative
오세정,오세정,바른미래당,초선,비례대표,남,Representative
우상호,우상호,더불어민주당,3선,지역구,남,Representative
윤호중,윤호중,더불어민주당,3선,지역구,남,Representative
이주영,이주영,자유한국당,5선,지역구,남,Representative
도종환,도종환,더불어민주당,재선,지역구,남,Representative
김규환,김규환,자유한국당,초선,비례대표,남,Representative
송희경,송희경,자유한국당,초선,비례대표,여,Representative
송석준,송석준,자유한국당,초선,지역구,남,Representative
임이자,임이자,자유한국당,초선,비례대표,여,Representative
오제세,오제세,더불어민주당,4선,지역구,남,Representative
박맹우,박맹우,자유한국당,재선,지역구,남,Representative
이종명,이종명,자유한국당,초선,비례대표,남,Representative
이종구,이종구,자유한국당,3선,지역구,남,Representative
김영진,김영진,더불어민주당,초선,지역구,남,Representative
윤한홍,윤한홍,자유한국당,초선,지역구,남,Representative
조훈현,조훈현,자유한국당,초선,비례대표,남,Representative
김명연,김명연,자유한국당,재선,지역구,남,Representative
임재훈,임재훈,바른미래당,초선,비례대표,남,Representative
김재경,김재경,자유한국당,4선,지역구,남,Representative
전현희,전현희,더불어민주당,재선,지역구,여,Representative
이인영,이인영,더불어민주당,3선,지역구,남,Representative
심기준,심기준,더불어민주당,초선,비례대표,남,Representative
박영선,박영선,더불어민주당,4선,지역구,여,Representative
이은권,이은권,자유한국당,초선,지역구,남,Representative
최운열,최운열,더불어민주당,초선,비례대표,남,Representative
신경민,신경민,더불어민주당,재선,지역구,남,Representative
김순례,김순례,자유한국당,초선,비례대표,여,Representative
이언주,이언주,바른미래당,재선,지역구,여,Representative
안상수,안상수,자유한국당,3선,지역구,남,Representative
한선교,한선교,자유한국당,4선,지역구,남,Representative
김태년,김태년,더불어민주당,3선,지역구,남,Representative
김무성,김무성,자유한국당,6선,지역구,남,Representative
임종성,임종성,더불어민주당,초선,지역구,남,Representative
장병완,장병완,민주평화당,3선,지역구,남,Representative
김학용,김학용,자유한국당,3선,지역구,남,Representative
김광수,김광수,민주평화당,초선,지역구,남,Representative
양승조,양승조,더불어민주당,4선,지역구,남,Representative
윤영석,윤영석,자유한국당,재선,지역구,남,Representative
이현재,이현재,자유한국당,재선,지역구,남,Representative
남인순,남인순,더불어민주당,재선,지역구,여,Representative
이상돈,이상돈,바른미래당,초선,비례대표,남,Representative
정유섭,정유섭,자유한국당,초선,지역구,남,Representative
이정현,이정현,자유한국당,3선,지역구,남,Representative
정점식,정점식,자유한국당,초선,지역구,남,Representative
송옥주,송옥주,더불어민주당,초선,비례대표,여,Representative
조경태,조경태,자유한국당,4선,지역구,남,Representative
박남춘,박남춘,더불어민주당,재선,지역구,남,Co-Sponsor
홍철호,홍철호,자유한국당,재선,지역구,남,Representative
박선숙,박선숙,바른미래당,재선,비례대표,여,Representative
박광온,박광온,더불어민주당,재선,지역구,남,Representative
최연혜,최연혜,자유한국당,초선,비례대표,여,Representative
김민기,김민기,더불어민주당,재선,지역구,남,Representative
강석호,강석호,자유한국당,3선,지역구,남,Representative
표창원,표창원,더불어민주당,초선,지역구,남,Representative
소병훈,소병훈,더불어민주당,초선,지역구,남,Representative
문진국,문진국,자유한국당,초선,비례대표,남,Representative
조원진,조원진,자유한국당,3선,지역구,남,Representative
김영호,김영호,더불어민주당,초선,지역구,남,Representative
노회찬,노회찬,정의당,3선,지역구,남,Representative
염동열,염동열,자유한국당,재선,지역구,남,Representative
김진태,김진태,자유한국당,재선,지역구,남,Representative
주호영,주호영,자유한국당,4선,지역구,남,Representative
김해영,김해영,더불어민주당,초선,지역구,남,Representative
진영,진영,더불어민주당,4선,지역구,남,Co-Sponsor
이후삼,이후삼,더불어민주당,초선,지역구,남,Representative
최도자,최도자,바른미래당,초선,비례대표,여,Representative
위성곤,위성곤,더불어민주당,초선,지역구,남,Representative
홍일표,홍일표,자유한국당,3선,지역구,남,Representative
김관영,김관영,바른미래당,재선,지역구,남,Representative
이학영,이학영,더불어민주당,재선,지역구,남,Representative
