Source,Target,Source_Party,Target_Party,Source_Reselection,Target_Reselection,Source_District_Type,Target_District_Type,Source_Gender,Target_Gender,Source_Role,Target_Role
박수현,이광희,더불어민주당,더불어민주당,재선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
허성무,이광희,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
박해철,이광희,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
문금주,이광희,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
이기헌,이광희,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
주철현,이광희,더불어민주당,더불어민주당,재선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
강준현,이광희,더불어민주당,더불어민주당,재선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
박희승,이광희,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
송재봉,이광희,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
조인철,이광희,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
주철현,이광희,더불어민주당,더불어민주당,재선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
박해철,이광희,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
박희승,이광희,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
임미애,이광희,더불어민주당,더불어민주당,초선,초선,비례대표,지역구,여,남,Co-Sponsor,Representative
박홍배,이광희,더불어민주당,더불어민주당,초선,초선,비례대표,지역구,남,남,Co-Sponsor,Representative
이용선,이광희,더불어민주당,더불어민주당,재선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
김남근,이광희,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
강준현,이광희,더불어민주당,더불어민주당,재선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
김준혁,이수진,더불어민주당,더불어민주당,초선,재선,지역구,지역구,남,여,Co-Sponsor,Representative
송옥주,이수진,더불어민주당,더불어민주당,3선,재선,지역구,지역구,여,여,Co-Sponsor,Representative
김문수,이수진,더불어민주당,더불어민주당,초선,재선,지역구,지역구,남,여,Co-Sponsor,Representative
소병훈,이수진,더불어민주당,더불어민주당,3선,재선,지역구,지역구,남,여,Co-Sponsor,Representative
박홍근,이수진,더불어민주당,더불어민주당,4선,재선,지역구,지역구,남,여,Co-Sponsor,Representative
박해철,이수진,더불어민주당,더불어민주당,초선,재선,지역구,지역구,남,여,Co-Sponsor,Representative
전종덕,이수진,더불어민주당,더불어민주당,초선,재선,비례대표,지역구,여,여,Co-Sponsor,Representative
추미애,이수진,더불어민주당,더불어민주당,6선,재선,지역구,지역구,여,여,Co-Sponsor,Representative
서미화,이수진,더불어민주당,더불어민주당,초선,재선,비례대표,지역구,여,여,Co-Sponsor,Representative
복기왕,염태영,더불어민주당,더불어민주당,재선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
김준혁,염태영,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
박정현,염태영,더불어민주당,더불어민주당,초선,초선,지역구,지역구,여,남,Co-Sponsor,Representative
민병덕,염태영,더불어민주당,더불어민주당,재선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
김남근,염태영,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
박정,염태영,더불어민주당,더불어민주당,3선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
이해식,염태영,더불어민주당,더불어민주당,재선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
안태준,염태영,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
박홍근,염태영,더불어민주당,더불어민주당,4선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
손명수,염태영,더불어민주당,더불어민주당,초선,초선,지역구,지역구,남,남,Co-Sponsor,Representative
권성동,김성원,국민의힘,국민의힘,5선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
김선교,김성원,국민의힘,국민의힘,재선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
고동진,김성원,국민의힘,국민의힘,초선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
박충권,김성원,국민의힘,국민의힘,초선,3선,비례대표,지역구,남,남,Co-Sponsor,Representative
서일준,김성원,국민의힘,국민의힘,재선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
김소희,김성원,국민의힘,국민의힘,초선,3선,비례대표,지역구,여,남,Co-Sponsor,Representative
김태호,김성원,국민의힘,국민의힘,4선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
이인선,김성원,국민의힘,국민의힘,재선,3선,지역구,지역구,여,남,Co-Sponsor,Representative
구자근,김성원,국민의힘,국민의힘,재선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
임이자,김성원,국민의힘,국민의힘,3선,3선,지역구,지역구,여,남,Co-Sponsor,Representative
이종배,김성원,국민의힘,국민의힘,4선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
김선교,김성원,국민의힘,국민의힘,재선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
고동진,김성원,국민의힘,국민의힘,초선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
박충권,김성원,국민의힘,국민의힘,초선,3선,비례대표,지역구,남,남,Co-Sponsor,Representative
서일준,김성원,국민의힘,국민의힘,재선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
김소희,김성원,국민의힘,국민의힘,초선,3선,비례대표,지역구,여,남,Co-Sponsor,Representative
구자근,김성원,국민의힘,국민의힘,재선,3선,지역구,지역구,남,남,Co-Sponsor,Representative
임이자,김성원,국민의힘,국민의힘,3선,3선,지역구,지역구,여,남,Co-Sponsor,Representative
