Id,Label,Party,Reselection,District_Type,Gender,Role
문금주,문금주,더불어민주당,초선,지역구,남,Representative
김기웅,김기웅,국민의힘,초선,지역구,남,Representative
조계원,조계원,더불어민주당,초선,지역구,남,Representative
양부남,양부남,더불어민주당,초선,지역구,남,Representative
이기헌,이기헌,더불어민주당,초선,지역구,남,Representative
나경원,나경원,국민의힘,5선,지역구,여,Representative
김예지,김예지,국민의힘,재선,비례대표,여,Representative
정동만,정동만,국민의힘,재선,지역구,남,Representative
서범수,서범수,국민의힘,재선,지역구,남,Representative
김승원,김승원,더불어민주당,재선,지역구,남,Representative
정점식,정점식,국민의힘,3선,지역구,남,Representative
이상식,이상식,더불어민주당,초선,지역구,남,Representative
김교흥,김교흥,더불어민주당,3선,지역구,남,Representative
박정현,박정현,더불어민주당,초선,지역구,여,Representative
박성훈,박성훈,국민의힘,초선,지역구,남,Representative
정진욱,정진욱,더불어민주당,초선,지역구,남,Representative
김성원,김성원,국민의힘,3선,지역구,남,Representative
조경태,조경태,국민의힘,6선,지역구,남,Representative
윤상현,윤상현,국민의힘,5선,지역구,남,Representative
김병기,김병기,더불어민주당,3선,지역구,남,Representative
이상휘,이상휘,국민의힘,초선,지역구,남,Representative
주진우,주진우,국민의힘,초선,지역구,남,Representative
신성범,신성범,국민의힘,3선,지역구,남,Representative
윤종오,윤종오,진보당,재선,지역구,남,Representative
윤재옥,윤재옥,국민의힘,4선,지역구,남,Representative
박홍배,박홍배,더불어민주당,초선,비례대표,남,Representative
민형배,민형배,더불어민주당,재선,지역구,남,Representative
이병진,이병진,더불어민주당,초선,지역구,남,Representative
김영호,김영호,더불어민주당,3선,지역구,남,Representative
이개호,이개호,더불어민주당,4선,지역구,남,Representative
이용우,이용우,더불어민주당,초선,지역구,남,Representative
이만희,이만희,국민의힘,3선,지역구,남,Representative
김장겸,김장겸,국민의힘,초선,비례대표,남,Representative
김성회,김성회,더불어민주당,초선,지역구,남,Representative
권칠승,권칠승,더불어민주당,3선,지역구,남,Representative
오기형,오기형,더불어민주당,재선,지역구,남,Representative
유영하,유영하,국민의힘,초선,지역구,남,Representative
박지혜,박지혜,더불어민주당,초선,지역구,여,Representative
신동욱,신동욱,국민의힘,초선,지역구,남,Representative
한준호,한준호,더불어민주당,재선,지역구,남,Representative
강승규,강승규,국민의힘,재선,지역구,남,Representative
김석기,김석기,국민의힘,3선,지역구,남,Representative
이인선,이인선,국민의힘,재선,지역구,여,Representative
안호영,안호영,더불어민주당,3선,지역구,남,Representative
이종배,이종배,국민의힘,4선,지역구,남,Representative
송언석,송언석,국민의힘,3선,지역구,남,Representative
이해식,이해식,더불어민주당,재선,지역구,남,Representative
부승찬,부승찬,더불어민주당,초선,지역구,남,Representative
박형수,박형수,국민의힘,재선,지역구,남,Representative
이정헌,이정헌,더불어민주당,초선,지역구,남,Representative
윤호중,윤호중,더불어민주당,5선,지역구,남,Representative
임이자,임이자,국민의힘,3선,지역구,여,Representative
김민전,김민전,국민의힘,초선,비례대표,여,Representative
허영,허영,더불어민주당,재선,지역구,남,Representative
강민국,강민국,국민의힘,재선,지역구,남,Representative
임오경,임오경,더불어민주당,재선,지역구,여,Representative
김우영,김우영,더불어민주당,초선,지역구,남,Representative
이양수,이양수,국민의힘,3선,지역구,남,Representative
박민규,박민규,더불어민주당,초선,지역구,남,Representative
인요한,인요한,국민의힘,초선,비례대표,남,Representative
박해철,박해철,더불어민주당,초선,지역구,남,Representative
조승래,조승래,더불어민주당,3선,지역구,남,Representative
배준영,배준영,국민의힘,재선,지역구,남,Representative
김승수,김승수,국민의힘,재선,지역구,남,Representative
박수영,박수영,국민의힘,재선,지역구,남,Representative
서왕진,서왕진,조국혁신당,초선,비례대표,남,Representative
박찬대,박찬대,더불어민주당,3선,지역구,남,Representative
황운하,황운하,조국혁신당,재선,비례대표,남,Representative
백승아,백승아,더불어민주당,초선,비례대표,여,Representative
박은정,박은정,조국혁신당,초선,비례대표,여,Representative
김태선,김태선,더불어민주당,초선,지역구,남,Representative
전용기,전용기,더불어민주당,재선,지역구,남,Representative
황명선,황명선,더불어민주당,초선,지역구,남,Representative
민병덕,민병덕,더불어민주당,재선,지역구,남,Representative
