노드,소관위원회,Betweenness,Case2 비율,중요도
황주홍,농림축산식품해양수산위원회,0.0637302919271545,0.906896551724138,0.057796781989109
이언주,외교통일위원회,0.0451939742603712,1.0,0.0451939742603712
이동섭,문화체육관광위원회,0.0496610654135247,0.8334534967555876,0.0413901886215101
안규백,국방위원회,0.0721306898959528,0.5417391304347826,0.0390760172218944
신용현,여성가족위원회,0.0448101894853461,0.7327586206896551,0.0328350526401242
김석기,문화체육관광위원회,0.0872456385659556,0.3667007150153217,0.0319930380441042
주승용,법제사법위원회,0.0359875354276459,0.8846701471286189,0.0318370982615718
김경진,국회운영위원회,0.0417990936820348,0.7329420396184886,0.0306363129775148
최도자,보건복지위원회,0.0340169147940183,0.8814016172506739,0.0299825637133261
황주홍,과학기술정보방송통신위원회,0.0381819485502209,0.7702127659574468,0.0294082242025105
문진국,환경노동위원회,0.0520759227405282,0.5594686438059931,0.0291348458705889
장병완,국회운영위원회,0.0460111579203665,0.6324404761904762,0.0290993186252317
정세균,교육위원회,0.0690181658395785,0.4210526315789473,0.0290602803535067
김경진,과학기술정보방송통신위원회,0.0353702737234789,0.8092948717948718,0.0286249811383923
김중로,국방위원회,0.0359721726545797,0.7538461538461538,0.0271174840011446
황주홍,국회운영위원회,0.0348566800439605,0.751937984496124,0.0262100617384819
이찬열,기획재정위원회,0.0402467614644269,0.6341197822141561,0.0255212676146474
황주홍,기획재정위원회,0.0294860060610656,0.8606060606060606,0.02537583551922
황주홍,정무위원회,0.030753633123115,0.8184458968772694,0.0251701848436823
황주홍,보건복지위원회,0.0282822635519875,0.843297974927676,0.0238503755797618
황주홍,국토교통위원회,0.0270902249531488,0.8697507298450483,0.0235617429246677
황주홍,산업통상자원중소벤처기업위원회,0.0306927449715679,0.7666666666666667,0.023531104478202
황주홍,행정안전위원회,0.0260020016034055,0.875,0.0227517514029798
이찬열,산업통상자원중소벤처기업위원회,0.0369756854342874,0.6118279569892473,0.0226227580775371
주승용,행정안전위원회,0.0243478601716736,0.9097744360902256,0.022151060757688
오제세,보건복지위원회,0.039309512925626,0.5572916666666666,0.0219068639741769
송희경,여성가족위원회,0.0584075370872024,0.375,0.0219028264077009
이동섭,교육위원회,0.0299429335524589,0.7300944669365722,0.0218611701104996
황주홍,문화체육관광위원회,0.0287791486521533,0.7521419828641371,0.0216460059323723
김종대,국방위원회,0.0210183508242104,1.0,0.0210183508242104
이찬열,국토교통위원회,0.0321528086142081,0.646190906353508,0.020776852540226
정동영,국토교통위원회,0.0232989257250336,0.85,0.0198040868662785
송희경,과학기술정보방송통신위원회,0.0482794179596872,0.4092071611253197,0.0197562835640663
하태경,환경노동위원회,0.0261138648106593,0.7452574525745257,0.0194615523656675
황주홍,외교통일위원회,0.0302380689621919,0.6398891966759003,0.0193490136572474
황주홍,환경노동위원회,0.0244809013577716,0.7857142857142857,0.0192349939239634
황주홍,교육위원회,0.0236949207366771,0.8097251585623678,0.0191863734506286
황주홍,여성가족위원회,0.0247117078678615,0.7756286266924565,0.0191671080367745
이찬열,정무위원회,0.0287141155842285,0.6531909483854564,0.0187558003905118
하태경,법제사법위원회,0.0231087649345557,0.8109090909090909,0.0187391075651124
유성엽,법제사법위원회,0.0216090783979379,0.8629032258064516,0.0186465434562851
김관영,정무위원회,0.0224672220507688,0.7948717948717948,0.0178585611172777
김종회,농림축산식품해양수산위원회,0.0227620470714542,0.7726495726495727,0.0175870859423885
이언주,산업통상자원중소벤처기업위원회,0.0189315387077455,0.9083333333333332,0.0171961476595354
이찬열,외교통일위원회,0.024480824080497,0.6964285714285714,0.0170491453417746
김현권,농림축산식품해양수산위원회,0.0387344128792218,0.4371764705882353,0.0169337739128456
하태경,행정안전위원회,0.0193634771749778,0.7896875793751588,0.0152910974185943
김관영,기획재정위원회,0.0170110001226874,0.7758736559139785,0.0131983868559426
김수민,정보위원회,0.0006817650572682,1.0,0.0006817650572682
진선미,정보위원회,0.0013148326104459,0.4117647058823529,0.0005414016631247
박선숙,정보위원회,0.0004674960392696,1.0,0.0004674960392696
김규환,교육문화체육관광위원회,0.0,0.0,0.0
배덕광,안전행정위원회,0.0,0.0,0.0
이우현,안전행정위원회,0.0,0.0,0.0
이양수,안전행정위원회,0.0,0.0,0.0
김종회,산업통상자원위원회,0.0,0.0,0.0
전혜숙,산업통상자원위원회,0.0,0.0,0.0
이춘석,산업통상자원위원회,0.0,0.0,0.0
우상호,미래창조과학방송통신위원회,0.0,0.0,0.0
김영호,미래창조과학방송통신위원회,0.0,0.0,0.0
김정우,미래창조과학방송통신위원회,0.0,0.0,0.0
김정우,교육문화체육관광위원회,0.0,0.0,0.0
김중로,교육문화체육관광위원회,0.0,0.2888888888888888,0.0
표창원,사법개혁 특별위원회,0.0,0.0,0.0
이춘석,사법개혁 특별위원회,0.0,0.0,0.0
김현아,정치개혁 특별위원회,0.0,0.0,0.0
최인호,정치개혁 특별위원회,0.0,0.0,0.0
홍영표,정치개혁 특별위원회,0.0,0.0,0.0
송기헌,사법개혁 특별위원회,0.0,0.0,0.0
이종배,헌법개정 및 정치개혁 특별위원회,0.0,0.0,0.0
김정우,헌법개정 및 정치개혁 특별위원회,0.0,0.0,0.0
기동민,헌법개정 및 정치개혁 특별위원회,0.0,0.0,0.0
