노드,Betweenness,소관위원회,Id,Label,Party,Reselection,District_Type,Gender,Role,Importance,Final_Importance
김병관,0.0057522030096252,행정안전위원회,김병관,김병관,더불어민주당,초선,지역구,남,Representative,0.4357562473746135,0.002506558397611235
김철민,0.0024121718767042,행정안전위원회,김철민,김철민,더불어민주당,초선,지역구,남,Representative,0.4943055978963909,0.0011923500617431288
박재호,0.0016915967951171,행정안전위원회,박재호,박재호,더불어민주당,초선,지역구,남,Representative,0.2524296630381502,0.00042700920898782434
서형수,0.0003476735586261,행정안전위원회,서형수,서형수,더불어민주당,초선,지역구,남,Representative,0.5046603090328576,0.00017545704553880099
심기준,0.0029644997081473,행정안전위원회,심기준,심기준,더불어민주당,초선,비례대표,남,Representative,0.3265883675668164,0.0009681711203361305
위성곤,0.0076415805509231,행정안전위원회,위성곤,위성곤,더불어민주당,초선,지역구,남,Representative,0.8913491139784591,0.00681131605346033
유승희,0.0088759266305499,행정안전위원회,유승희,유승희,더불어민주당,3선,지역구,여,Representative,0.5469890607717001,0.00485503477112301
이규희,0.0008699370440789,행정안전위원회,이규희,이규희,더불어민주당,초선,지역구,남,Representative,0.3036400552435822,0.0002641477321225558
이원욱,0.0049640322154092,행정안전위원회,이원욱,이원욱,더불어민주당,재선,지역구,남,Representative,0.3714494969930796,0.00184388726947119
이종걸,0.0018972859953342,행정안전위원회,이종걸,이종걸,더불어민주당,5선,지역구,남,Representative,1.0363897595497007,0.001966327776501426
홍익표,0.0054511317254321,행정안전위원회,홍익표,홍익표,더불어민주당,재선,지역구,남,Representative,0.1975395629671791,0.001076814178718382
강창일,0.0052159155686962,행정안전위원회,강창일,강창일,더불어민주당,4선,지역구,남,Representative,0.8418881333730888,0.004391217421961277
권미혁,0.0052905735312556,행정안전위원회,권미혁,권미혁,더불어민주당,초선,지역구,여,Representative,0.4592713852034786,0.0024298090342206187
김민기,0.006539130711934,행정안전위원회,김민기,김민기,더불어민주당,재선,지역구,남,Representative,0.1891638569535047,0.0012369671865925527
김영호,0.0165378797202584,행정안전위원회,김영호,김영호,더불어민주당,초선,지역구,남,Representative,0.4539708046944207,0.007507714564545247
김한정,0.0035569526299972,행정안전위원회,김한정,김한정,더불어민주당,초선,지역구,남,Representative,0.475581724187707,0.0016916216646280676
소병훈,0.0201540223438225,행정안전위원회,소병훈,소병훈,더불어민주당,초선,지역구,남,Representative,0.5375988645747761,0.010834779528653644
전혜숙,0.01131204567339,행정안전위원회,전혜숙,전혜숙,더불어민주당,재선,지역구,여,Representative,0.717807959122133,0.008119876418312431
표창원,0.005354520618546,행정안전위원회,표창원,표창원,더불어민주당,초선,지역구,남,Representative,0.4432466247795722,0.0023733731914831416
박찬대,0.0023776959862996,행정안전위원회,박찬대,박찬대,더불어민주당,초선,지역구,남,Representative,0.6056175521921311,0.0014399744230798187
