Id,Label,Party,Reselection,District_Type,Gender,Role
신정훈,신정훈,더불어민주당,재선,지역구,남,Representative
박성중,박성중,국민의힘,재선,지역구,남,Representative
김정호,김정호,더불어민주당,재선,지역구,남,Representative
강은미,강은미,정의당,초선,비례대표,여,Representative
윤건영,윤건영,더불어민주당,초선,지역구,남,Representative
추경호,추경호,국민의힘,재선,지역구,남,Representative
박대출,박대출,국민의힘,3선,지역구,남,Representative
송기헌,송기헌,더불어민주당,재선,지역구,남,Representative
김남국,김남국,더불어민주당,초선,지역구,남,Representative
이만희,이만희,국민의힘,재선,지역구,남,Representative
김도읍,김도읍,국민의힘,3선,지역구,남,Representative
이상직,이상직,더불어민주당,재선,지역구,남,Representative
김정재,김정재,국민의힘,재선,지역구,여,Representative
한정애,한정애,더불어민주당,3선,지역구,여,Representative
이용우,이용우,더불어민주당,초선,지역구,남,Representative
윤호중,윤호중,더불어민주당,4선,지역구,남,Representative
도종환,도종환,더불어민주당,3선,지역구,남,Representative
임병헌,임병헌,국민의힘,초선,지역구,남,Representative
김형동,김형동,국민의힘,초선,지역구,남,Representative
허숙정,허숙정,더불어민주당,초선,비례대표,여,Representative
김영진,김영진,더불어민주당,재선,지역구,남,Representative
김의겸,김의겸,열린민주당,초선,비례대표,남,Representative
정필모,정필모,더불어민주당,초선,비례대표,남,Representative
김태년,김태년,더불어민주당,4선,지역구,남,Representative
임종성,임종성,더불어민주당,재선,지역구,남,Representative
김학용,김학용,국민의힘,4선,지역구,남,Representative
남인순,남인순,더불어민주당,3선,지역구,여,Representative
이용,이용,국민의힘,초선,비례대표,남,Representative
정청래,정청래,더불어민주당,3선,지역구,남,Representative
윤영찬,윤영찬,더불어민주당,초선,지역구,남,Representative
송옥주,송옥주,더불어민주당,재선,지역구,여,Representative
배현진,배현진,국민의힘,초선,지역구,여,Representative
조오섭,조오섭,더불어민주당,초선,지역구,남,Representative
박광온,박광온,더불어민주당,3선,지역구,남,Representative
태영호,태영호,국민의힘,초선,지역구,남,Representative
윤주경,윤주경,국민의힘,초선,비례대표,여,Representative
김민기,김민기,더불어민주당,3선,지역구,남,Representative
권명호,권명호,국민의힘,초선,지역구,남,Representative
소병훈,소병훈,더불어민주당,재선,지역구,남,Representative
김영호,김영호,더불어민주당,재선,지역구,남,Representative
김은혜,김은혜,국민의힘,초선,지역구,여,Representative
이은주,이은주,정의당,초선,비례대표,여,Representative
이자스민,이자스민,정의당,재선,비례대표,여,Representative
윤창현,윤창현,국민의힘,초선,비례대표,남,Representative
박영순,박영순,더불어민주당,초선,지역구,남,Representative
용혜인,용혜인,기본소득당,초선,비례대표,여,Representative
김성주,김성주,더불어민주당,재선,지역구,남,Representative
위성곤,위성곤,더불어민주당,재선,지역구,남,Representative
하영제,하영제,국민의힘,초선,지역구,남,Representative
이학영,이학영,더불어민주당,3선,지역구,남,Representative
김선교,김선교,국민의힘,초선,지역구,남,Representative
이양수,이양수,국민의힘,재선,지역구,남,Representative
김영식,김영식,국민의힘,초선,지역구,남,Representative
정춘숙,정춘숙,더불어민주당,재선,지역구,여,Representative
권성동,권성동,국민의힘,4선,지역구,남,Representative
정진석,정진석,국민의힘,5선,지역구,남,Representative
안민석,안민석,더불어민주당,5선,지역구,남,Representative
박수영,박수영,국민의힘,초선,지역구,남,Representative
박덕흠,박덕흠,국민의힘,3선,지역구,남,Representative
김병기,김병기,더불어민주당,재선,지역구,남,Representative
배준영,배준영,국민의힘,초선,지역구,남,Representative
이소영,이소영,더불어민주당,초선,지역구,여,Representative
조정훈,조정훈,시대전환,초선,비례대표,남,Representative
전봉민,전봉민,국민의힘,초선,지역구,남,Representative
전재수,전재수,더불어민주당,재선,지역구,남,Representative
김한규,김한규,더불어민주당,초선,지역구,남,Representative
정경희,정경희,국민의힘,초선,비례대표,여,Representative
엄태영,엄태영,국민의힘,초선,지역구,남,Representative
장경태,장경태,더불어민주당,초선,지역구,남,Representative
강민국,강민국,국민의힘,초선,지역구,남,Representative
박용진,박용진,더불어민주당,재선,지역구,남,Representative
황운하,황운하,더불어민주당,초선,지역구,남,Representative
