노드,Betweenness,소관위원회
문진석,0.004498651938112161,행정안전위원회
서영석,0.000511270312714799,행정안전위원회
송재호,0.015629429271531627,행정안전위원회
정성호,0.0019725912273410623,행정안전위원회
이정문,0.0006057171299929349,행정안전위원회
허숙정,0.0,행정안전위원회
강병원,0.004420988562582632,행정안전위원회
임호선,0.021443839157881967,행정안전위원회
이동주,0.0050703518899499955,행정안전위원회
윤재옥,0.009668320566423975,행정안전위원회
이양수,0.004195609288436612,행정안전위원회
이인선,0.001086545541281764,행정안전위원회
권성동,0.006417251661445033,행정안전위원회
정희용,0.0058644872653728225,행정안전위원회
김웅,0.00043063427060268126,행정안전위원회
전주혜,0.003201061180618089,행정안전위원회
조은희,0.004816060181345086,행정안전위원회
전봉민,0.002970941070641602,행정안전위원회
서범수,0.01367708912661043,행정안전위원회
최혜영,0.004090535828808112,행정안전위원회
홍성국,0.0024452910579797846,행정안전위원회
주철현,0.0006800916819911532,행정안전위원회
이병훈,0.005853842732727651,행정안전위원회
박주민,0.0018544491113003418,행정안전위원회
문정복,0.00045845027019632707,행정안전위원회
유정주,0.00089113793003975,행정안전위원회
윤재갑,0.013305993107604669,행정안전위원회
신영대,0.0014931971078844476,행정안전위원회
임오경,0.0018842430910170137,행정안전위원회
강준현,0.0035183730337729055,행정안전위원회
유동수,0.0016673661395896786,행정안전위원회
홍익표,0.007107201524872644,행정안전위원회
이자스민,0.0,행정안전위원회
양경규,0.0,행정안전위원회
강은미,0.0003185676310181137,행정안전위원회
심상정,0.0012889769015313908,행정안전위원회
강민정,0.0041669442406043495,행정안전위원회
김민석,0.003914112830400021,행정안전위원회
배진교,0.0005079033061905315,행정안전위원회
장혜영,0.0017037507664853862,행정안전위원회
인재근,0.0009710488058034042,행정안전위원회
도종환,0.0015300178818252745,행정안전위원회
김영주,0.0029379504846520446,행정안전위원회
하태경,0.008788911604003864,행정안전위원회
한정애,0.001010581770350439,행정안전위원회
김승수,0.008017844242707958,행정안전위원회
박대수,0.001913132033393526,행정안전위원회
김석기,0.0019719993376496117,행정안전위원회
지성호,0.0015238138496548176,행정안전위원회
김예지,0.023344764440048755,행정안전위원회
황보승희,0.0027567063032513323,행정안전위원회
성일종,0.0014581215506602994,행정안전위원회
최영희,0.0007000548941502097,행정안전위원회
이주환,0.0018236838397460834,행정안전위원회
정진석,0.0009175563442530475,행정안전위원회
이명수,0.024662969419512633,행정안전위원회
유상범,0.0008565104015751468,행정안전위원회
최형두,0.0193798718784747,행정안전위원회
구자근,0.005616009168707743,행정안전위원회
정동만,0.0005025031510406755,행정안전위원회
김은희,0.0,행정안전위원회
태영호,0.0033604535659550595,행정안전위원회
주호영,0.002193869336294231,행정안전위원회
송언석,0.0003087050628295571,행정안전위원회
박형수,0.0002590075997445179,행정안전위원회
이헌승,0.0013022136522190155,행정안전위원회
김영식,0.0011888134229799912,행정안전위원회
